"TOA5","CR1000","CR1000","20988","CR1000.Std.21","CPU:ProgramSWC20-09-22.CR1","38243","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2022-09-21 00:00:00",0,12.79
"2022-09-22 00:00:00",1,12.61
"2022-09-23 00:00:00",2,12.6
"2022-09-24 00:00:00",3,12.61
"2022-09-25 00:00:00",4,12.63
"2022-09-26 00:00:00",5,12.62
"2022-09-27 00:00:00",6,12.62
"2022-09-28 00:00:00",7,12.61
"2022-09-29 00:00:00",8,12.59
"2022-09-30 00:00:00",9,12.6
"2022-10-01 00:00:00",10,12.59
"2022-10-02 00:00:00",11,12.63
"2022-10-03 00:00:00",12,12.64
"2022-10-04 00:00:00",13,12.61
"2022-10-05 00:00:00",14,12.6
"2022-10-06 00:00:00",15,12.64
"2022-10-07 00:00:00",16,12.61
"2022-10-08 00:00:00",17,12.61
"2022-10-09 00:00:00",18,12.62
"2022-10-10 00:00:00",19,12.57
"2022-10-11 00:00:00",20,12.59
"2022-10-12 00:00:00",21,12.56
"2022-10-13 00:00:00",22,12.55
"2022-10-14 00:00:00",23,12.62
"2022-10-15 00:00:00",24,12.63
"2022-10-16 00:00:00",25,12.66
"2022-10-17 00:00:00",26,12.65
"2022-10-18 00:00:00",27,12.65
"2022-10-19 00:00:00",28,12.64
"2022-10-20 00:00:00",29,12.64
"2022-10-21 00:00:00",30,12.63
"2022-10-22 00:00:00",31,12.64
"2022-10-23 00:00:00",32,12.65
"2022-10-24 00:00:00",33,12.62
"2022-10-25 00:00:00",34,12.65
"2022-10-26 00:00:00",35,12.62
"2022-10-27 00:00:00",36,12.66
"2022-10-28 00:00:00",37,12.65
"2022-10-29 00:00:00",38,12.65
"2022-10-30 00:00:00",39,12.63
"2022-10-31 00:00:00",40,12.64
"2022-11-01 00:00:00",41,12.59
"2022-11-02 00:00:00",42,12.64
"2022-11-03 00:00:00",43,12.61
"2022-11-04 00:00:00",44,12.62
"2022-11-05 00:00:00",45,12.59
"2022-11-06 00:00:00",46,12.56
"2022-11-07 00:00:00",47,12.59
"2022-11-08 00:00:00",48,12.6
"2022-11-09 00:00:00",49,12.68
"2022-11-10 00:00:00",50,12.66
"2022-11-11 00:00:00",51,12.64
"2022-11-12 00:00:00",52,12.63
"2022-11-13 00:00:00",53,12.57
"2022-11-14 00:00:00",54,12.57
"2022-11-15 00:00:00",55,11.99
"2022-11-16 00:00:00",56,12.59
